id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
163,bambu,10,True,4.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.38,False,Random 30%
28,bambu,10,False,,ALL_BRAM,MEM_ACC_NN,1,8.0,6.0,165.5629139072848,3.9600000000000017,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,18.77,False,Random 30%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.33226104966292,0.4614000000000005,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,18.55,True,Random 30%
189,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496632,10.461400000000006,,,,,,,,,20.09,False,Random 30%
70,bambu,5,True,1.0,NO_BRAM,MEM_ACC_NN,1,8.0,9.0,220.33226104966292,0.4614000000000005,,,,,,,,,20.29,False,Random 30%
62,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,220.33226104966292,0.4614000000000005,,,,,,,,,19.74,False,Random 30%
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496632,15.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,19.48,True,Random 30%
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,7.0,7.0,220.3322610496628,5.4613999999999985,536.0,433.0,103.0,0.0,225.0,19.0,8.0,5.0,16.86,True,Random 30%
188,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,1,8.0,9.0,220.3322610496632,10.461400000000006,,,,,,,,,18.79,False,Random 30%
26,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,1,8.0,6.0,170.96939647803055,4.151000000000004,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.17,True,Random 30%
173,bambu,15,True,1.0,ALL_BRAM,MEM_ACC_NN,2,7.0,5.0,165.56291390728484,8.960000000000003,,,,,,,,,20.61,False,Random 30%
236,bambu,20,True,4.0,NO_BRAM,MEM_ACC_N1,1,8.0,9.0,220.3322610496632,15.461400000000006,,,,,,,,,18.73,False,Random 30%
