id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,13.29,True,Grid Search
1,bambu,5,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,2.82,False,Grid Search
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,19.4,True,Grid Search
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,21.53,True,Grid Search
4,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,22.08,False,Grid Search
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,17.0,15.0,225.6012271179886,0.5673999970000001,444.0,376.0,68.0,3.0,451.0,42.0,17.0,6.0,20.91,True,Grid Search
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.36,True,Grid Search
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.83,False,Grid Search
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,20.63,True,Grid Search
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,20.87,True,Grid Search
10,bambu,5,False,,NO_BRAM,MEM_ACC_NN,1,15.0,17.0,225.6012271179886,0.5673999970000001,612.0,508.0,104.0,3.0,451.0,41.0,17.0,11.0,21.7,False,Grid Search
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,14.0,15.0,225.6012271179886,0.5673999970000001,781.0,642.0,139.0,3.0,451.0,42.0,17.0,10.0,19.07,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,15.68,True,Grid Search
13,bambu,8,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.79,False,Grid Search
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,17.96,True,Grid Search
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,22.68,True,Grid Search
16,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,1,14.0,12.0,152.79772636983157,1.4553999999999985,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,22.03,False,Grid Search
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,13.0,11.0,152.79772636983157,1.4553999999999985,444.0,376.0,68.0,3.0,355.0,42.0,14.0,6.0,20.83,True,Grid Search
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,14.0,16.0,158.30299192654743,1.683000000000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.16,True,Grid Search
19,bambu,8,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,5.26,False,Grid Search
